"I don't always like _, but when I do, I lol.",Fill in the Blank,
My gift for Greece is _ .,Fill in the Blank,
I got _ at my 14th birthday. That's the way it is!,Fill in the Blank,
I have pie with flavor of _.,Fill in the Blank,
I really get horny while watching _.,Fill in the Blank,
I will conquer the world with an army of _ and cookies.,Fill in the Blank,
Passing _.,Fill in the Blank,
As a famous pornstar I'm known as _.,Fill in the Blank,
"Oh, c'mon! It's just _.",Fill in the Blank,
"When I have an orgasm, I scream for _.",Fill in the Blank,
What is the key to heaven? _,Fill in the Blank,
"My dream is to become a judge, who can force people to deal with _.",Fill in the Blank,
I wouldn't favour a monkey dictatorship over _. For real!,Fill in the Blank,
If you wanna impress the guy/chick do _!,Fill in the Blank,
In klingon: Hoch DaSopbe´chugh batlh bIHeghbe´ means _,Fill in the Blank,
_ students will know it.,Fill in the Blank,
Kneel before the might of _.,Fill in the Blank,
My favorite sex-position is called _.,Fill in the Blank,
_? There´s an app for that.,Fill in the Blank,
Why can´t I sleep at night? _,Fill in the Blank,
What´s that smell? _,Fill in the Blank,
I got 99 problems but _ ain´t one.,Fill in the Blank,
Maybe she´s born with it. Maybe it´s _.,Fill in the Blank,
What´s the next Happy Meal toy? _,Fill in the Blank,
Anthropologists have recently discovere a primitive tribe tha worships _.,Fill in the Blank,
It ´s a pity that kids these days are all getting involved with _.,Fill in the Blank,
"During Picasso´s often-overlooked Brown Period, he produced hundreds of paintings of _.",Fill in the Blank,
Alternative medicine is now embracing the curative powers of _.,Fill in the Blank,
What´s that sound? _,Fill in the Blank,
What ended my last relationship? _,Fill in the Blank,
MTV´s new reality show features eight washed-up celebrities living with _.,Fill in the Blank,
I drink to forget _.,Fill in the Blank,
"I´m sorry Professor, but I couldn´t complete my homework because of _.",Fill in the Blank,
What is Batman´s guilty pleasure? _,Fill in the Blank,
This is the way the world ends/This is the way the world ends/ Not with a bang but with _.,Fill in the Blank,
What´s a girls best friend? _,Fill in the Blank,
TSA guidelines now prohibit _ on airplanes.,Fill in the Blank,
_ . That's how i want to die.,Fill in the Blank,
"In the new Disney Channel Original Movie, Hannah Montana struggles with _ for the first time.",Fill in the Blank,
What does Dick Chaney prefer? _,Fill in the Blank,
"Dear Abby, I'm having some trouble with _ and would like your advice.",Fill in the Blank,
Instead of coal Santa now gives the bad children _ .,Fill in the Blank,
What's the most emo? _,Fill in the Blank,
"In 1000 years, when paper money is but a distant memory, _ will be our currency.",Fill in the Blank,
"A romatic, candlelit dinner would be incomplete without _ .",Fill in the Blank,
_ . Betcha can't have just one!,Fill in the Blank,
White people like _ .,Fill in the Blank,
"_ . High five, bro.",Fill in the Blank,
Next from J.K. Rowling: Harry Potter and the Chamber of _ .,Fill in the Blank,
BILLY MAYS HERE FOR _ .,Fill in the Blank,
War! What is it good for? _,Fill in the Blank,
"During sex, I like to think about _ .",Fill in the Blank,
What are my parents hiding from me? _,Fill in the Blank,
What will allways get you laid? _,Fill in the Blank,
"In L.A. County Jail, word is you can trade 200 cigarettes for _ .",Fill in the Blank,
What did I bring back from Mexico? _,Fill in the Blank,
What don't you want to find in your chinese food? _,Fill in the Blank,
What will I bring back in time to convince people that I am a powerful wizard? _,Fill in the Blank,
How am I maintaining my relationship status? _,Fill in the Blank,
_ . It's a trap!,Fill in the Blank,
"Coming to Broadway this season, _ : The musical .",Fill in the Blank,
"While the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on _ .",Fill in the Blank,
After the earthquake Sean Penn brought _ to the people of Haiti.,Fill in the Blank,
"Next on ESPN2, the World Series of _ .",Fill in the Blank,
Rumor has it that Vladimir Putin's favorit dish is _ stuffed with _ .,Fill in the Blank,
"But before I kill you, Mr. Bond, I must show you _ .",Fill in the Blank,
What gives me uncontrollable gas? _,Fill in the Blank,
What do old people smell like? _,Fill in the Blank,
The class field trip was completely ruined by _ .,Fill in the Blank,
"When Pharao remained unmoved, Moses called down a Plague of _ .",Fill in the Blank,
What's my secret power? _,Fill in the Blank,
What's there a ton of in heaven? _,Fill in the Blank,
"What would grandma find disturbing, yet oddly charming? _",Fill in the Blank,
What did the U.S. airdrop to the children of Afghanistan? _,Fill in the Blank,
What helps Obama unwind? _,Fill in the Blank,
What did Vin Diesel eat for dinner? _,Fill in the Blank,
_ : Good to the last drop.,Fill in the Blank,
Why am I sticky? _,Fill in the Blank,
What gets better with age? _,Fill in the Blank,
"_ : Kid-tested, mother-approved.",Fill in the Blank,
What's the crustiest? _,Fill in the Blank,
What's Teach for America using to inspire inner city students to succeed? _,Fill in the Blank,
Studies show that lab rats navigate mazes 50% faster after being exposed to _ .,Fill in the Blank,
Life for American Indians was forever changed when the White Man introduced them to _ .,Fill in the Blank,
"I do not know with what weapons World War III will be fought, but World War IV will be fought with _ .",Fill in the Blank,
Why do I hurt all over? _,Fill in the Blank,
What am I giving up for Lent? _,Fill in the Blank,
"In Michael Jackson's final moments, he thought about _ .",Fill in the Blank,
"In an attempt to reach a wider audience, the Smithsonian Museum of Natural History has opened an interactive exhibit on _ .",Fill in the Blank,
"When I am President of the United States, I will create the Department of _ .",Fill in the Blank,
"When I am a billionaire, I shall erect a 50-foot statue to commemorate _ .",Fill in the Blank,
What's my anti-drug? _,Fill in the Blank,
What never fails to liven up the party? _,Fill in the Blank,
What's the new fad diet? _,Fill in the Blank,
Major League Baseball has banned _ for giving players an unfair advantage.,Fill in the Blank,
Two girls one cup,Answer,
SM,Answer,
Jesus,Answer,
Cheesus,Answer,
Giving 0%,Answer,
NANANANANANA!,Answer,
Suspicious owl <(ovO)>,Answer,
Bear Grylls,Answer,
Avada Kedavra!!,Answer,
My little Pony ©,Answer,
A giant wooden cock,Answer,
A syringe of HIV,Answer,
Dissection,Answer,
Teletubbies ©,Answer,
A Facepalm,Answer,
A cat in a bottle,Answer,
Taking a look into the mirror,Answer,
Time,Answer,
Sodomy,Answer,
A pickled elephant,Answer,
A booty call,Answer,
A guy with a coat standing in the dark,Answer,
Fruits at house,Answer,
Strap-on and straps,Answer,
A flesh wound,Answer,
Glenn Beck convulsively vomiting as a brood of crab spiders hatches in hier brain an erupts from his tear ducts.,Answer,
Menstruation,Answer,
A sassy black woman.,Answer,
Re-gifting.,Answer,
Penis envy,Answer,
A sausage festival,Answer,
Getting really high,Answer,
Drinkng alone,Answer,
Too much hair gel,Answer,
Hulk Hogan,Answer,
Overcompensation,Answer,
Foreskin,Answer,
Free samples,Answer,
Shaquille O'Neals's acting career,Answer,
Five Dollar Footlong,Answer,
Whipping it out,Answer,
A snapping turtle biting the tip of your penis,Answer,
Muhammed (Praise be unto him),Answer,
Half-assed foreplay,Answer,
Dental dams,Answer,
Being a dick to children,Answer,
Famine,Answer,
Chainsaw for hands,Answer,
A Gypsy curse,Answer,
AXE Body Spray,Answer,
The Force,Answer,
Explosions,Answer,
Cybernetic enhancements,Answer,
Customer service representatives,Answer,
White privilege,Answer,
Gandhi,Answer,
Road head,Answer,
God,Answer,
Poorly-timed Holocaust-Jokes,Answer,
8 oz. of sweet Mexican black-tar heroin,Answer,
Judge Judy,Answer,
The Little Engine That Could.,Answer,
Altar boys,Answer,
"Mr. Clean, right behind you",Answer,
Vehicular manlslaughter,Answer,
Dwarf tossing,Answer,
Friction,Answer,
Lady Gaga,Answer,
Scientology,Answer,
Justin Bieber,Answer,
A death ray,Answer,
Vigilante justice,Answer,
The Pope,Answer,
A sea of troubles,Answer,
Alcoholism,Answer,
Poor people,Answer,
A fetus,Answer,
Women in yogurt commercials,Answer,
Exactly what you'd expected.,Answer,
Flesh-eating bacteria,Answer,
My genitals,Answer,
A balanced breakfast,Answer,
Dick Cheney,Answer,
Lockjaw,Answer,
Natural male enhancement,Answer,
Take-backsies,Answer,
Winking at old people,Answer,
Opposable thumbs,Answer,
Flying sex snakes,Answer,
Passive-aggressive Post-It notes,Answer,
Inappropriate yodeling,Answer,
Golden showers,Answer,
Racism,Answer,
Copping a feel,Answer,
Auschwitz,Answer,
Elderly japanese men,Answer,
Raping and pillaging,Answer,
Kids with ass-cancer,Answer,
Pictures of boobs,Answer,
The homosexual agenda,Answer,
A homoerotic volleyball montage,Answer,
Sexual tension,Answer,
Hurricane Katrina,Answer,
Fiery poops,Answer,
Science,Answer,
Dry heaving,Answer,
Cards against humanity,Answer,
Fancy Feast ®,Answer,
A bleached asshole,Answer,
Lumberjack fantasies,Answer,
American Gladiators,Answer,
Autocannibalism,Answer,
Sean Connery,Answer,
William Shatner,Answer,
Domino's Oreo Dessert Pizza,Answer,
An asymmetric boob job,Answer,
Centaurs,Answer,
A micropenis,Answer,
Asians who aren't good at math,Answer,
The milk man,Answer,
Waterboarding,Answer,
Wifely duties,Answer,
Loose lips,Answer,
The Blood of Christ,Answer,
Actually taking candy from a baby,Answer,
The token minority,Answer,
Jibber-jabber,Answer,
A brain tumor,Answer,
Bingeing and purging,Answer,
A clandestine butt scratch,Answer,
The Chinese gymnastics team,Answer,
Prancing,Answer,
The Hamburglar,Answer,
Police brutality,Answer,
Man meat,Answer,
Forgetting the Alamo,Answer,
Eating the last known bison,Answer,
Crystal meth,Answer,
Booby-trapping the house to foil burglars,Answer,
My inner demons,Answer,
Third base,Answer,
Soiling oneself,Answer,
Laying an egg,Answer,
Giving 110%,Answer,
Hot people,Answer,
Chewbacca,Answer,
Jewbacca,Answer,
Bacon,Answer,
WHAAARGLBRAAAAW!,Answer,
Fyling sex snakes,Answer,
Michelle Obama's arms,Answer,
German dungeon porn,Answer,
White people,Answer,
Getting so angry that you pop a boner,Answer,
Tastefull sideboob,Answer,
Praying the gay away,Answer,
Two midgets shitting in a bucket,Answer,
MechaHitler,Answer,
Being a motherfucking sorcerer,Answer,
A disappointing birthday party,Answer,
Puppies!,Answer,
A windmill full of corpses,Answer,
Guys who don't call,Answer,
Racially-biased SAT questions,Answer,
Dying,Answer,
Steven Hawking talking dirty,Answer,
Being on fire,Answer,
A lifetime of sadness,Answer,
An erection that lasts longer than four hours,Answer,
AIDS,Answer,
Same-sex ice dancing,Answer,
Glenn Beck catching his scrotum on a curtain hook,Answer,
The Rapture,Answer,
Pterodactyl eggs,Answer,
Crippling dept,Answer,
Eugenics,Answer,
Exchanging pleasentries,Answer,
Dying of dysentery,Answer,
Roofies,Answer,
Getting naked and watching Nickelodeon,Answer,
The forbidden fruit,Answer,
Republicans,Answer,
The Big Bang,Answer,
Anal beads,Answer,
Amputees,Answer,
Men,Answer,
Surprise sex!,Answer,
Kim Jong-il,Answer,
Concealing a boner,Answer,
Agriculture,Answer,
Glenn Beck being harried by a swarm of buzzards,Answer,
Making a pouty face,Answer,
A salty surprise,Answer,
The jews,Answer,
Charisma,Answer,
YOU MUST CONSTRUCT ADDITIONAL PYLONS,Answer,
Panda sex,Answer,
Taking off your shirt,Answer,
A drive-by shooting,Answer,
Ronald Reagan,Answer,
Morgan Freeman's voice,Answer,
Breaking out into song and dance,Answer,
Jewish fraternities,Answer,
Dead babies,Answer,
Masturbation,Answer,
Hormone injections,Answer,
All-you-can-eat shrimp for $4.99,Answer,
Incest,Answer,
Scalping,Answer,
Soup that is too hot,Answer,
The Übermensch,Answer,
Nazis,Answer,
Tom Cruise,Answer,
Stifling a giggle at the mention of Hutus and Tutsis,Answer,
Edible underpants,Answer,
The Hustle,Answer,
A Super Soaker full of cat pee,Answer,
Figgy pudding,Answer,
Object permanence,Answer,
Consultants,Answer,
Intelligent design,Answer,
Nocturnal emissions,Answer,
Uppercuts,Answer,
Being marginalized,Answer,
The profoundly handicapped,Answer,
Obesity,Answer,
Chutzpah,Answer,
Unfathomable stupidity,Answer,
Repression,Answer,
Attitude,Answer,
Passable transvestites,Answer,
Party poopers,Answer,
The American Dream,Answer,
Child beauty pageants,Answer,
Puberty,Answer,
Testicular torsion,Answer,
The folly of man,Answer,
Nickelback,Answer,
Swooping,Answer,
Goats eating cans,Answer,
The KKK,Answer,
Kamikaze Pilots,Answer,
Horrifying laser hair removal accidents,Answer,
Adderal,Answer,
A look-see,Answer,
Doing the right thing,Answer,
The taint; the grundle; the fleshy fun-bridge,Answer,
The invisible hand,Answer,
Lactation,Answer,
Pabst Blue Ribbon,Answer,
Powerful thighs,Answer,
Saxophone solos,Answer,
The gays,Answer,
A middle-aged man on roller skates,Answer,
A foul mouth,Answer,
The thing that electrocutes your abs,Answer,
Cuddling,Answer,
Coat hangar abortions,Answer,
A big hoopla about nothing,Answer,
Boogers,Answer,
A hot mess,Answer,
Raptor attacks,Answer,
My collection of high-tech sex toys,Answer,
Fear itself,Answer,
Bees?,Answer,
Getting drunk on mouthwash,Answer,
Sniffing glue,Answer,
Oversized lollipops,Answer,
An icepick lobotomy,Answer,
Being rich,Answer,
Friends with benefits,Answer,
Teaching a robot to love,Answer,
Women's suffrage,Answer,
Me time,Answer,
The heart of a child,Answer,
Smallpox blankets,Answer,
The clitoris,Answer,
John Wilkes Booth,Answer,
The glass ceiling,Answer,
Sarah Palin,Answer,
Sexy pillow fights,Answer,
Yeast,Answer,
Full frontal nudity,Answer,
Parting the Red Sea,Answer,
A Bop It,Answer,
Michael Jackson,Answer,
Team-building exercises,Answer,
Harry Potter erotica,Answer,
Authentic mexican cuisine,Answer,
Frolicking,Answer,
Sexting,Answer,
Grandma,Answer,
Not giving a shit about the Third World,Answer,
Licking things to claim them as your own,Answer,
Genghis Khan,Answer,
The hardworking Mexican,Answer,
RoboCop,Answer,
My relationship status,Answer,
Scrubbing under the folds,Answer,
Porn stars,Answer,
Horse meat,Answer,
Sunshine and rainbows,Answer,
Excepting a burp and vomiting on the floor,Answer,
Barack Obama,Answer,
Spontaneous human combustion,Answer,
Natural selection,Answer,
Mouth herpes,Answer,
Flash flooding,Answer,
Friendly Fire,Answer,
Count Chocula,Answer,
Pac-Man uncontrollably guzzling cum,Answer,
Estrogen,Answer,
My vagina,Answer,
Kanye West,Answer,
A robust mongoloid,Answer,
The Donald Trump Seal of Approval,Answer,
The true meaning of christmas,Answer,
"Her Royal Highness, Queen Elizabeth II",Answer,
An honest cop with nothing left to lose,Answer,
Feeding Rosie O´Donnell,Answer,
The terrorists,Answer,
When you fart and a little bit comes out,Answer,
Pooping back and forth. Forever.,Answer,
Friends who eat all the snacks,Answer,
Cockfights,Answer,
Bitches,Answer,
Seduction,Answer,
